year,month,naics,description,customs_value,calculated_duties
2025,11,313,TEXTILES & FABRICS,616418877,125332941
2025,11,314,TEXTILE MILL PRODUCTS,1514468980,472882819
2025,11,315,APPAREL & ACCESSORIES,5508655355,1737796473
2025,11,316,LEATHER & ALLIED PRODUCTS,2883227713,806084907
2025,11,321,WOOD PRODUCTS,1593128079,161613918
2025,11,322,PAPER,1950543736,195255452
2025,11,323,"PRINTED MATTER AND RELATED PRODUCTS, NESOI",461895943,29971867
2025,11,324,PETROLEUM & COAL PRODUCTS,4100907032,12023424
2025,11,325,CHEMICALS,24973885918,1029423241
2025,11,326,PLASTICS & RUBBER PRODUCTS,5708456835,998453399
2025,11,327,NONMETALLIC MINERAL PRODUCTS,2067556115,377601826
2025,11,331,PRIMARY METAL MFG,7983464704,1456782677
2025,11,332,"FABRICATED METAL PRODUCTS, NESOI",6277989581,1809896053
2025,11,333,"MACHINERY, EXCEPT ELECTRICAL",17453964613,3129222128
2025,11,334,COMPUTER & ELECTRONIC PRODUCTS,68049096337,2404661889
2025,11,335,"ELECTRICAL EQUIPMENT, APPLIANCES & COMPONENTS",14582929751,2708137473
2025,11,336,TRANSPORTATION EQUIPMENT,35077111394,4634955266
2025,11,337,FURNITURE & FIXTURES,2871828550,577549825
2025,11,339,MISCELLANEOUS MANUFACTURED COMMODITIES,10063377809,1489697815
2025,11,910,WASTE AND SCRAP,667197235,4492985
2025,11,930,USED OR SECOND-HAND MERCHANDISE,2213806543,17098263
2025,11,980,GOODS RETURNED (EXPORTS FOR CANADA ONLY),10030621547,7083346
2025,11,990,OTHER SPECIAL CLASSIFICATION PROVISIONS,3408874307,2245246
2025,12,111,AGRICULTURAL PRODUCTS,4511159290,142555733
2025,12,112,LIVESTOCK & LIVESTOCK PRODUCTS,1005745548,135371420
2025,12,113,"FORESTRY PRODUCTS, NESOI",198944697,15193683
2025,12,114,"FISH, FRESH/CHILLED/FROZEN & OTHER MARINE PRODUCTS",978638878,130522142
2025,12,115,PRODUCTS SUPPORTING AGRICULTURE AND FORESTRY ,7852341,43167
2025,12,211,OIL & GAS,12553965167,238759
2025,12,212,MINERALS & ORES,457095551,12607385
2025,12,311,FOOD & KINDRED PRODUCTS,9670732624,892381008
2025,12,312,BEVERAGES & TOBACCO PRODUCTS,1815226265,148551505
2025,12,313,TEXTILES & FABRICS,632455862,127157805
2025,12,314,TEXTILE MILL PRODUCTS,1526421917,461174975
2025,12,315,APPAREL & ACCESSORIES,6415706680,2014308573
2025,12,316,LEATHER & ALLIED PRODUCTS,3020448355,836867999
2025,12,321,WOOD PRODUCTS,1529408646,195679615
2025,12,322,PAPER,1891841544,184071311
2025,12,323,"PRINTED MATTER AND RELATED PRODUCTS, NESOI",467786580,26002376
2025,12,324,PETROLEUM & COAL PRODUCTS,4900206679,12686541
2025,12,325,CHEMICALS,25722642045,1026939658
2025,12,326,PLASTICS & RUBBER PRODUCTS,5794284382,1021714625
2025,12,327,NONMETALLIC MINERAL PRODUCTS,2157676652,389852097
2025,12,331,PRIMARY METAL MFG,12213640432,1489051180
2025,12,332,"FABRICATED METAL PRODUCTS, NESOI",6810395941,1940897036
2025,12,333,"MACHINERY, EXCEPT ELECTRICAL",19347497968,3267619229
2025,12,334,COMPUTER & ELECTRONIC PRODUCTS,71974428843,2273034331
2025,12,335,"ELECTRICAL EQUIPMENT, APPLIANCES & COMPONENTS",15340508127,2708264549
2025,12,336,TRANSPORTATION EQUIPMENT,37902478334,4619378922
2025,12,337,FURNITURE & FIXTURES,3152780963,750283842
2025,12,339,MISCELLANEOUS MANUFACTURED COMMODITIES,9918315778,1334811236
2025,12,910,WASTE AND SCRAP,737495303,5744520
2025,12,930,USED OR SECOND-HAND MERCHANDISE,1538280386,20251207
2025,12,980,GOODS RETURNED (EXPORTS FOR CANADA ONLY),10174951483,7726009
2025,12,990,OTHER SPECIAL CLASSIFICATION PROVISIONS,3814204087,2375871
