date,dv_canada,dv_mexico,dv_china,dv_eu,dv_world,m_canada,m_mexico,m_china,m_eu,m_world,share_canada,share_mexico,share_china,share_eu,dv_row,m_row,share_row
2010-12-01,1427943,596065,12297231,9166016,47481223,24273,19356.7,30799.6,28783.6,166518.1,5.882845136571499,3.0793730336265996,39.926593202509125,31.844578162564797,23993968,63305.20000000002,37.90204912076732
2011-01-01,1843338,796419,13823762,8746614,49413634,24793.2,19606.4,31377.4,26134.3,167048.1,7.434853104883597,4.062035865839726,44.05642914964273,33.46794825191415,24203501,65136.8,37.157952186782275
2011-02-01,2020767,740598,12081707,8202009,46863230,23221.4,19053.6,27244.7,26833.4,156320.7,8.702175579422429,3.886919007431666,44.34516438059512,30.566417226292604,23818149,59967.60000000001,39.71836291597462
2011-03-01,2502856,876165,10472783,11242904,55292819,28305.6,23269.5,27599.7,33504.6,185977.7,8.84226442824035,3.7652936247018625,37.945278390707145,33.5562997319771,30198111,73298.30000000002,41.198924122387545
2011-04-01,1922450,734024,12693543,10329359,54521738,25936.4,21359.7,29580.3,31133.8,178293.5,7.412169769127558,3.4364902128775214,42.912150992383445,33.17731532932055,28842362,70283.3,41.03729050855608
2011-05-01,2210637,751071,14202603,10748674,58379023,26965.2,22970.2,32788.1,31676.9,188953.4,8.19811089849139,3.2697625619280632,43.31633427981493,33.932215589277995,30466038,74552.99999999997,40.8649390366585
2011-06-01,2500509,794619,14806379,11100524,59341263,26857.6,22714.8,34374.8,32344.6,191582.1,9.310247378768022,3.4982434359976757,43.07335315405471,34.31955875169271,30139232,75290.30000000002,40.03069718144302
2011-07-01,2329119,693987,15512769,10046627,60053144,25446.4,21091.3,35152.2,30174.7,187230.2,9.15303932972837,3.2903946176859655,44.130293409800814,33.294869543027765,31470642,75365.60000000003,41.75730306665108
2011-08-01,2580677,809013,16876285,10450982,61899278,27147.9,23152.5,37374.1,31368.8,196337.8,9.505991255308881,3.4942792355037255,45.15502714446636,33.316486445130195,31182321,77294.49999999999,40.342224867228595
2011-09-01,2264258,750979,16524475,9381892,59886646,27234.7,22303.5,36418.6,29529,189566.8,8.313871641692398,3.3670903669827603,45.37372386637597,31.771790443293035,30965042,74080.99999999997,41.79889850298999
